"ClusterDiskNumber","VolumeName","DriveLetter","LUNid","PhysicalDiskNumber","SizeinGB","OwnerNode","ClusterGroup"
"Cluster Disk 1","Clustered Disk","F:","107","7","19.99609375","GLAWI1257","SAP CPJ"
"Cluster Disk 10","tempdb","R:\tempdb","116","9","99.8720703125","GLAWI1257","SQL Server (SQLSVRCPT)"
"Cluster Disk 11","CP1DATA5","R:\CPTDATA5","250","20","649.87109375","GLAWI1257","SQL Server (SQLSVRCPT)"
"Cluster Disk 12","TempDB_LOG","I:","154","14","66.8720703125","GLAWI1257","SQL Server (MSSQLSERVER)"
"Cluster Disk 13","Interface_PT","T:","105","5","199.8720703125","GLAWI1257","SAP CPT"
"Cluster Disk 14","CPT_JavaInst","L:","102","2","39.8720703125","GLAWI1256","SAP PTJ"
"Cluster Disk 15","CP1DATA3","R:\CPTDATA3","252","22","649.87109375","GLAWI1257","SQL Server (SQLSVRCPT)"
"Cluster Disk 16","SAP Global Binaries_DR","M:","151","11","99.8720703125","GLAWI1257","SAP CP1"
"Cluster Disk 17","ptjdata","R:\ptjdata","115","8","299.8720703125","GLAWI1257","SQL Server (SQLSVRCPT)"
"Cluster Disk 18","Quorum","Q:","100","1","4.9658203125","GLAWI1257","Cluster Group"
"Cluster Disk 19","CP1DATA8","R:\CPTDATA8","247","17","649.87109375","GLAWI1257","SQL Server (SQLSVRCPT)"
"Cluster Disk 2","","Not found","152","12","0","GLAWI1257","SQL Server (MSSQLSERVER)"
"Cluster Disk 20","CP1DATA6","R:\CPTDATA6","249","19","649.87109375","GLAWI1257","SQL Server (SQLSVRCPT)"
"Cluster Disk 21","TDP_PT","W:","106","6","4.9658203125","GLAWI1257","Available Storage"
"Cluster Disk 22","TempDB","H:","153","13","199.8720703125","GLAWI1257","SQL Server (MSSQLSERVER)"
"Cluster Disk 23","Stub LUN_PT","R:","104","4","9.9658203125","GLAWI1257","SQL Server (SQLSVRCPT)"
"Cluster Disk 24","STDM Extracts","X:","245","24","1023.99609375","GLAWI1257","Available Storage"
"Cluster Disk 3","CP1DATA1","R:\CPTDATA1","254","34","649.87109375","GLAWI1257","SQL Server (SQLSVRCPT)"
"Cluster Disk 4","SAP Global Binaries","N:","103","3","149.8720703125","GLAWI1257","SAP CPT"
"Cluster Disk 5","CP1DATA2","R:\CPTDATA2","253","23","649.87109375","GLAWI1257","SQL Server (SQLSVRCPT)"
"Cluster Disk 6","CP1LOG","Y:","246","16","599.8720703125","GLAWI1257","SQL Server (SQLSVRCPT)"
"Cluster Disk 7","tempdblog","R:\tempdblog","117","10","49.8720703125","GLAWI1257","SQL Server (SQLSVRCPT)"
"Cluster Disk 8","CP1DATA7","R:\CPTDATA7","248","18","649.87109375","GLAWI1257","SQL Server (SQLSVRCPT)"
"Cluster Disk 9","CP1DATA4","R:\CPTDATA4","251","21","649.87109375","GLAWI1257","SQL Server (SQLSVRCPT)"
