"ClusterDiskNumber","VolumeName","DriveLetter","LUNid","PhysicalDiskNumber","SizeinGB","OwnerNode","ClusterGroup"
"Cluster Disk 1","Quorum","Q:","120","17","4.99609375","GLAWI1243","Cluster Group"
"Cluster Disk 10","IP1DATA8","R:\IPTDATA8","247","5","1781.87109375","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 11","Quorum","D:","100","10","4.9658203125","GLAWI1243","Available Storage"
"Cluster Disk 12","SAP DR Global Binaries","M:","151","18","99.8720703125","GLAWI1243","SAP IP1"
"Cluster Disk 13","SAP Global Binaries_PT","N:","102","11","149.8720703125","GLAWI1243","SAP IPT"
"Cluster Disk 14","tempdb","R:\TEMPDB","114","15","99.8720703125","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 15","SAP Server LogFile","F:","246","4","1499.8720703125","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 16","IP1DATA5","R:\IPTDATA5","250","8","1781.87109375","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 17","","Not found","152","19","0","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 18","Master Model DB_PT","R:","103","12","9.9658203125","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 19","IP1DATA3","R:\IPTDATA3","252","30","1781.87109375","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 2","IP1DATA4","R:\IPTDATA4","251","9","1781.87109375","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 20","IP1DATA7","R:\IPTDATA7","248","6","1781.87109375","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 21","IP1DATA6","R:\IPTDATA6","249","7","1781.87109375","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 22","STDM Extracts","X:","245","1","1023.99609375","GLAWI1243","Available Storage"
"Cluster Disk 23","New Volume","Not found","244","2","0.99609375","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 3","INTERFACE_PT","T:","104","13","299.8720703125","GLAWI1243","SAP IPT"
"Cluster Disk 4","","Not found","153","20","0","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 5","tempdblog","R:\tempdblog","115","16","49.8720703125","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 6","IP1DATA1","R:\IPTDATA1","254","33","1781.87109375","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 7","IP1DATA2","R:\IPTDATA2","253","32","1781.87109375","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 8","TDP_PT","W:","105","14","4.9658203125","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 9","","Not found","154","21","0","GLAWI1243","SQL Server (MSSQLSERVER)"
