"ClusterDiskNumber","VolumeName","DriveLetter","LUNid","PhysicalDiskNumber","SizeinGB","OwnerNode","ClusterGroup"
"Cluster Disk 1","Quorum","Q:","120","17","4.99609375","GLAWI1243","Cluster Group"
"Cluster Disk 10","","Not found","247","23","0","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 11","Quorum","D:","100","10","4.9658203125","GLAWI1243","Available Storage"
"Cluster Disk 12","SAP DR Global Binaries","M:","151","18","99.8720703125","GLAWI1243","SAP IP1"
"Cluster Disk 13","SAP Global Binaries_PT","N:","102","11","149.8720703125","GLAWI1243","SAP IPT"
"Cluster Disk 14","tempdb","R:\TEMPDB","114","15","99.8720703125","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 15","","Not found","246","22","0","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 16","","Not found","250","26","0","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 17","","Not found","152","19","0","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 18","Master Model DB_PT","R:","103","12","9.9658203125","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 19","","Not found","252","28","0","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 2","","Not found","251","27","0","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 20","","Not found","248","24","0","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 21","","Not found","249","25","0","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 3","INTERFACE_PT","T:","104","13","299.8720703125","GLAWI1243","Available Storage"
"Cluster Disk 4","","Not found","153","20","0","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 5","tempdblog","R:\tempdblog","115","16","49.8720703125","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 6","","Not found","254","30","0","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 7","","Not found","253","29","0","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 8","TDP_PT","W:","105","14","4.9658203125","GLAWI1243","Available Storage"
"Cluster Disk 9","","Not found","154","21","0","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 1","Quorum","Q:","120","17","4.99609375","GLAWI1243","Cluster Group"
"Cluster Disk 10","IP1DATA8","G:\IP1DATA8","247","3","2421.87109375","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 11","Quorum","D:","100","10","4.9658203125","GLAWI1243","Available Storage"
"Cluster Disk 12","SAP DR Global Binaries","M:","151","18","99.8720703125","GLAWI1243","SAP IP1"
"Cluster Disk 13","SAP Global Binaries_PT","N:","102","11","149.8720703125","GLAWI1243","SAP IPT"
"Cluster Disk 14","tempdb","R:\TEMPDB","114","15","99.8720703125","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 15","SAP Server LogFile","Not found","246","2","1499.8720703125","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 16","IP1DATA5","G:\IP1DATA5","250","6","2421.87109375","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 17","Stub LUN DR","G:","152","19","19.8720703125","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 18","Master Model DB_PT","R:","103","12","9.9658203125","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 19","IP1DATA3","G:\IP1DATA3","252","8","2421.87109375","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 2","IP1DATA4","G:\IP1DATA4","251","7","2421.87109375","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 20","IP1DATA7","G:\IP1DATA7","248","4","2421.87109375","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 21","IP1DATA6","G:\IP1DATA6","249","5","2421.87109375","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 3","INTERFACE_PT","T:","104","13","299.8720703125","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 4","Temdb_DR","H:","153","20","199.8720703125","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 5","tempdblog","R:\tempdblog","115","16","49.8720703125","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 6","IP1DATA1","G:\IP1DATA1","254","31","2421.87109375","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 7","IP1DATA2","G:\IP1DATA2","253","9","2421.87109375","GLAWI1243","SQL Server (MSSQLSERVER)"
"Cluster Disk 8","TDP_PT","W:","105","14","4.9658203125","GLAWI1243","SQL Server (SQLSVRIPT)"
"Cluster Disk 9","Tempdblog_DR","I:","154","21","66.8720703125","GLAWI1243","SQL Server (MSSQLSERVER)"
